Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.298;6.466;2.710;6.601;2.506;6.533;28.489;28.533
01028;74.51;19.01;2.303;9.355;1.726;10.292;2.002;9.822;28.304;28.386
01241;63.70;9.60;1.928;20.517;1.842;17.960;1.888;19.242;27.174;27.255
01415;58.86;5.65;2.025;12.171;2.340;5.098;2.118;8.633;27.717;27.701
03005;60.13;-1.17;1.409;1.892;1.361;1.184;1.391;1.540;28.457;28.592
04018;63.95;-22.60;1.724;11.308;1.610;9.463;1.672;10.393;27.109;27.348
04270;61.15;-45.43;4.730;41.854;4.810;43.302;4.771;42.577;27.913;27.967
04320;76.76;-18.65;5.315;69.495;5.286;68.795;5.301;69.146;27.413;27.478
70133;66.86;-162.63;4.973;75.545;5.372;77.505;5.175;76.524;28.315;28.359
70200;64.50;-165.43;3.605;49.319;4.260;55.391;3.951;52.354;27.924;27.935
70219;60.78;-161.84;7.300;64.006;7.764;70.829;7.543;67.410;28.207;28.266
70261;64.81;-147.88;9.054;79.349;10.998;86.522;10.063;82.918;28.467;28.603
70273;61.16;-150.01;3.843;58.866;4.614;70.363;4.261;64.593;28.717;28.826
70308;57.15;-170.21;1.785;5.517;2.357;8.673;2.131;7.076;27.696;28.033
70316;55.20;-162.71;2.127;6.561;2.867;12.583;2.612;9.558;27.902;28.033
70326;58.68;-156.67;4.793;37.792;6.007;54.615;5.509;46.189;28.261;28.310
70350;57.75;-152.50;1.473;2.932;2.339;12.576;2.175;7.745;28.435;28.489
70361;59.51;-139.67;3.000;17.236;4.807;35.965;4.219;26.579;28.500;28.565
70398;55.05;-131.59;1.635;1.987;2.814;10.880;2.631;6.420;28.272;28.359
71043;65.28;-126.75;7.988;70.632;9.395;75.834;8.714;73.225;27.707;27.788
71081;68.76;-81.21;6.917;82.225;7.038;83.150;6.978;82.690;27.739;27.598
71082;82.50;-62.35;5.811;83.670;5.802;82.973;5.807;83.324;28.152;28.321
71109;50.68;-127.36;1.996;6.649;3.154;18.905;2.850;12.738;28.402;28.587
71811;50.21;-66.24;2.368;28.696;3.613;51.290;3.165;39.973;28.652;28.701
71816;53.30;-60.36;3.448;28.202;4.157;44.979;3.882;36.539;28.250;28.424
71867;53.97;-101.09;5.072;43.308;7.574;68.355;6.602;55.822;28.543;28.565
71906;58.11;-68.41;3.399;51.523;4.702;63.540;4.106;57.416;26.772;27.299
71907;58.45;-78.11;4.433;52.785;4.783;58.265;4.615;55.495;27.685;27.989
71913;58.73;-94.08;4.593;70.586;5.496;78.181;5.061;74.331;27.250;27.630
71917;79.98;-85.93;9.801;92.722;9.622;93.489;9.712;93.103;28.380;28.603
71925;69.13;-105.06;7.303;93.075;7.437;92.854;7.370;92.965;28.446;28.505
71926;64.31;-96.00;6.689;90.289;7.091;91.320;6.889;90.800;26.924;27.174
71934;60.03;-111.93;6.643;57.116;8.391;73.674;7.620;65.323;28.076;28.321
71945;58.83;-122.60;15.714;56.206;18.983;71.517;17.558;63.928;28.163;27.918
71957;68.31;-133.53;6.695;78.312;7.039;81.131;6.869;79.712;28.054;28.261
72797;47.95;-124.55;1.677;4.545;3.825;28.505;3.529;16.527;27.989;27.984
04360;65.59;-37.63;2.497;29.344;2.499;29.013;2.498;29.179;25.326;25.424
10035;54.53;9.55;2.613;21.474;2.534;18.223;2.577;19.856;28.630;28.766
10238;52.81;9.93;3.085;26.101;2.828;16.023;2.971;20.399;22.522;19.902
12120;54.75;17.53;2.563;24.981;2.277;15.537;2.461;20.529;25.185;26.712
12374;52.40;20.96;3.404;33.181;2.632;18.299;3.129;25.719;28.630;28.549
21824;71.58;128.91;5.843;78.405;5.908;78.976;5.880;78.728;24.402;21.538
22113;68.98;33.11;5.131;48.127;4.811;46.221;4.982;47.218;26.174;27.451
22217;67.15;32.35;5.679;50.585;4.937;45.217;5.311;47.773;26.587;25.380
22271;67.88;44.13;4.680;46.215;4.482;45.843;4.572;46.011;23.402;21.321
23205;67.63;53.03;6.695;65.187;5.838;62.840;6.321;64.142;21.207;23.826
23330;66.53;66.66;7.140;84.103;6.657;81.051;6.910;82.623;24.609;25.364
23472;65.78;87.93;6.406;69.193;5.793;66.459;6.119;67.885;24.467;25.571
24125;68.50;112.43;12.514;88.183;11.966;88.841;12.212;88.544;25.326;23.103
24959;62.01;129.71;9.427;93.412;8.871;92.594;9.137;92.984;27.152;25.951
25913;59.55;150.78;2.255;41.638;2.025;40.199;2.138;40.896;27.283;26.446
26063;59.95;30.70;3.407;34.341;2.993;25.599;3.235;30.080;26.326;27.011
27612;55.75;37.95;4.352;33.125;2.724;19.596;3.825;27.069;22.576;25.217
28698;54.93;73.40;6.360;75.736;4.753;67.145;5.635;71.602;25.011;25.989
31004;58.61;125.36;13.749;61.207;13.233;60.088;13.480;60.619;22.304;21.239
32061;50.90;142.16;2.137;29.235;2.097;32.431;2.112;31.101;26.913;23.049
32150;46.95;142.71;2.970;46.738;2.327;38.827;2.659;42.545;27.435;25.880
32540;53.08;158.58;2.146;30.249;1.806;32.595;1.964;31.458;26.978;26.174
33345;50.40;30.56;3.244;33.922;2.517;18.379;2.997;26.360;21.587;22.185
47401;45.41;141.68;3.018;0.342;1.592;0.417;2.234;0.379;28.685;28.647
50953;45.75;126.76;4.231;76.542;2.279;33.387;3.634;54.852;27.250;27.109
