Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.236;20.980;1.954;15.865;2.115;18.429;28.913;28.989
01028;74.51;19.01;2.639;26.873;2.460;20.726;2.561;23.805;29.054;29.109
01241;63.70;9.60;1.953;21.448;1.462;2.009;1.911;11.705;27.598;27.533
01415;58.86;5.65;1.382;10.350;1.348;0.541;1.381;5.430;28.120;28.027
03005;60.13;-1.17;1.817;11.375;1.572;5.568;1.737;8.489;28.891;29.065
04018;63.95;-22.60;1.285;6.186;3.692;1.264;1.692;3.729;28.370;28.418
04270;61.15;-45.43;1.353;8.158;1.536;16.297;1.475;12.230;28.413;28.397
04320;76.76;-18.65;2.769;37.011;2.325;25.029;2.590;31.017;28.402;28.386
70133;66.86;-162.63;2.171;4.251;1.803;11.885;1.899;8.091;28.717;28.549
70200;64.50;-165.43;1.265;3.435;1.997;23.231;1.902;13.322;28.728;28.761
70219;60.78;-161.84;1.667;0.377;1.505;17.720;1.508;9.052;28.891;28.880
70261;64.81;-147.88;0.737;0.149;3.415;52.115;3.407;26.108;29.033;29.060
70273;61.16;-150.01;1.026;0.669;1.473;16.486;1.456;8.566;29.141;29.185
70308;57.15;-170.21;1.754;11.749;2.130;21.384;1.993;16.455;27.652;28.304
70316;55.20;-162.71;1.699;5.579;2.145;15.463;2.027;10.525;28.891;28.864
70326;58.68;-156.67;1.030;0.188;2.044;24.849;2.037;12.519;28.870;28.870
70350;57.75;-152.50;1.204;0.975;1.566;19.015;1.549;9.987;28.924;28.951
70361;59.51;-139.67;1.445;1.346;3.531;25.555;3.426;13.410;28.880;28.978
70398;55.05;-131.59;1.348;0.851;2.261;15.471;2.213;8.123;29.087;29.239
71043;65.28;-126.75;4.800;0.226;4.223;52.026;4.225;25.835;28.163;28.484
71081;68.76;-81.21;2.768;24.568;2.509;32.689;2.621;28.609;28.663;28.799
71082;82.50;-62.35;3.103;40.763;3.034;37.481;3.070;39.125;28.391;28.435
71109;50.68;-127.36;2.356;11.813;3.553;32.598;3.232;22.149;28.576;28.734
71811;50.21;-66.24;2.048;31.371;2.196;32.857;2.123;32.111;28.913;29.043
71816;53.30;-60.36;1.504;4.924;1.523;10.473;1.517;7.711;28.957;28.826
71867;53.97;-101.09;2.177;0.901;4.990;59.115;4.948;30.024;28.978;28.962
71906;58.11;-68.41;2.513;5.815;2.240;21.132;2.300;13.397;28.033;28.315
71907;58.45;-78.11;2.797;14.689;2.508;26.294;2.612;20.483;28.772;28.815
71913;58.73;-94.08;2.969;10.071;2.976;46.947;2.975;28.426;28.663;28.793
71917;79.98;-85.93;2.134;21.953;2.086;29.080;2.106;25.516;28.707;28.712
71925;69.13;-105.06;1.607;5.444;2.589;32.484;2.448;18.931;29.011;29.082
71926;64.31;-96.00;1.087;2.197;2.347;29.741;2.259;15.854;27.739;27.973
71934;60.03;-111.93;1.813;0.936;4.958;64.120;4.912;32.296;28.598;28.810
71945;58.83;-122.60;3.515;1.354;8.605;73.019;8.515;37.639;28.804;28.446
71957;68.31;-133.53;3.672;1.246;2.047;36.792;2.100;18.958;28.598;28.696
72797;47.95;-124.55;2.287;8.470;5.050;47.563;4.633;28.035;28.543;28.516
04360;65.59;-37.63;2.189;30.053;2.114;17.645;2.161;23.830;26.674;26.592
10035;54.53;9.55;1.285;15.390;1.383;0.373;1.288;7.891;29.163;29.201
10238;52.81;9.93;1.829;37.057;4.316;0.397;1.865;16.069;24.630;21.511
12120;54.75;17.53;1.564;33.812;1.776;0.557;1.567;18.010;25.380;26.707
12374;52.40;20.96;1.817;42.305;2.069;0.076;1.817;21.314;28.620;28.788
21824;71.58;128.91;3.383;16.780;3.273;17.300;3.322;17.063;24.880;22.870
22113;68.98;33.11;1.833;22.279;3.523;0.888;1.894;11.940;25.696;26.582
22217;67.15;32.35;2.260;30.590;12.085;0.763;2.536;14.587;27.065;25.223
22271;67.88;44.13;2.374;32.494;2.181;6.269;2.338;18.267;21.500;19.815
23205;67.63;53.03;1.950;28.210;1.221;1.271;1.924;16.068;22.228;24.658
23330;66.53;66.66;2.143;27.864;4.809;0.797;2.217;14.283;24.554;24.467
23472;65.78;87.93;1.949;24.546;2.509;1.031;1.970;13.264;23.196;24.174
24125;68.50;112.43;4.061;23.705;6.051;3.452;4.334;13.135;22.674;21.723
24959;62.01;129.71;2.312;14.874;2.232;15.444;2.270;15.168;28.011;27.196
25913;59.55;150.78;2.547;15.811;2.801;31.190;2.715;23.472;25.859;25.957
26063;59.95;30.70;1.204;25.407;10.410;0.157;1.260;12.851;27.717;27.870
27612;55.75;37.95;2.880;50.455;6.620;0.236;2.895;26.976;23.076;24.679
28698;54.93;73.40;2.665;54.779;1.402;0.352;2.657;27.210;27.783;27.424
31004;58.61;125.36;7.516;21.394;10.143;39.327;9.229;30.449;20.674;20.473
32061;50.90;142.16;2.147;4.995;1.835;29.010;1.870;18.710;27.239;23.848
32150;46.95;142.71;1.428;5.748;1.654;26.858;1.616;16.630;28.370;27.516
32540;53.08;158.58;1.963;6.085;2.252;31.095;2.208;19.182;27.685;26.435
33345;50.40;30.56;1.425;21.899;17.409;0.306;1.631;11.467;21.293;22.038
34731;47.25;39.81;1.906;52.359;18.716;0.400;2.022;27.640;21.739;22.848
47401;45.41;141.68;1.324;6.266;1.766;16.405;1.643;11.316;29.087;29.201
