Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.122;6.407;2.461;5.472;2.277;5.942;28.833;28.983
01028;74.51;19.01;2.280;10.693;1.768;9.309;2.044;10.006;28.767;28.983
01241;63.70;9.60;1.747;17.262;1.869;12.644;1.798;14.968;27.944;28.133
01415;58.86;5.65;1.808;10.500;2.145;2.938;1.881;6.725;28.367;28.417
03005;60.13;-1.17;1.336;1.708;1.368;0.996;1.348;1.353;29.011;29.144
04018;63.95;-22.60;1.507;9.094;1.560;6.688;1.529;7.899;28.078;28.272
04270;61.15;-45.43;4.519;36.208;4.677;39.641;4.602;37.921;28.478;28.539
04320;76.76;-18.65;5.233;70.219;5.143;66.981;5.189;68.606;28.267;28.367
70133;66.86;-162.63;4.784;74.924;5.597;81.517;5.206;78.208;28.856;28.961
70200;64.50;-165.43;3.340;43.038;4.297;59.590;3.894;51.292;28.733;28.811
70219;60.78;-161.84;6.506;55.412;6.975;69.782;6.767;62.579;29.011;29.083
70261;64.81;-147.88;7.739;55.224;9.790;83.898;8.972;69.496;29.189;29.322
70273;61.16;-150.01;3.406;40.865;3.949;63.819;3.736;52.286;29.267;29.411
70308;57.15;-170.21;1.672;7.472;2.055;13.018;1.912;10.198;28.167;28.656
70316;55.20;-162.71;1.899;6.422;2.684;13.154;2.425;9.773;28.467;28.594
70326;58.68;-156.67;4.455;27.839;5.468;51.153;5.108;39.427;28.911;29.083
70350;57.75;-152.50;1.515;1.561;2.204;10.424;2.114;5.987;29.100;29.139
70361;59.51;-139.67;2.856;9.966;4.667;36.104;4.272;22.970;29.144;29.289
70398;55.05;-131.59;1.499;1.732;2.708;10.414;2.535;6.053;29.233;29.372
71043;65.28;-126.75;6.975;51.909;8.702;76.347;7.998;64.054;28.467;28.639
71081;68.76;-81.21;6.618;83.491;7.187;85.540;6.906;84.517;28.278;28.239
71082;82.50;-62.35;6.101;84.909;6.064;84.550;6.083;84.730;28.767;28.961
71109;50.68;-127.36;1.952;5.036;3.095;19.351;2.858;12.165;29.111;29.228
71811;50.21;-66.24;2.397;25.707;3.547;49.867;3.154;37.741;29.256;29.367
71816;53.30;-60.36;3.424;24.533;4.176;42.654;3.900;33.563;28.967;29.067
71867;53.97;-101.09;4.389;26.687;7.311;70.353;6.506;48.491;29.233;29.272
71906;58.11;-68.41;3.013;46.500;4.656;67.995;3.981;57.146;27.878;28.144
71907;58.45;-78.11;4.133;62.003;5.050;72.989;4.625;67.450;28.589;28.828
71913;58.73;-94.08;3.884;65.648;5.414;81.735;4.720;73.560;27.800;28.261
71917;79.98;-85.93;9.816;93.079;10.005;93.436;9.910;93.256;28.944;29.161
71925;69.13;-105.06;6.831;93.101;7.759;94.483;7.296;93.788;29.000;29.156
71926;64.31;-96.00;6.208;89.976;7.237;93.263;6.725;91.598;27.211;27.572
71934;60.03;-111.93;5.914;36.242;7.788;75.214;7.170;55.526;28.556;28.856
71945;58.83;-122.60;13.593;34.676;15.928;68.728;15.159;51.938;28.922;28.528
71957;68.31;-133.53;5.850;71.884;6.782;83.971;6.348;77.878;28.767;29.006
72797;47.95;-124.55;1.447;2.845;3.726;26.963;3.507;14.867;28.722;28.811
04360;65.59;-37.63;2.566;30.089;2.584;27.792;2.574;28.940;26.267;26.261
10035;54.53;9.55;2.409;19.744;2.306;13.802;2.367;16.790;29.222;29.383
10238;52.81;9.93;2.668;26.296;2.480;10.580;2.603;17.388;23.000;20.289
12120;54.75;17.53;2.369;25.614;2.159;11.145;2.311;18.833;25.522;27.228
12374;52.40;20.96;3.110;31.059;2.724;11.293;3.007;21.182;29.122;29.139
21824;71.58;128.91;6.312;79.483;6.217;77.971;6.259;78.624;24.867;21.883
22113;68.98;33.11;4.661;45.291;4.505;34.547;4.597;40.189;26.244;27.633
22217;67.15;32.35;5.416;50.136;4.531;32.396;5.049;40.857;26.856;25.672
22271;67.88;44.13;4.584;51.598;3.971;45.814;4.259;48.359;23.889;21.333
23205;67.63;53.03;6.401;65.509;5.153;52.035;5.919;59.549;21.567;24.378
23330;66.53;66.66;6.866;81.462;5.825;69.867;6.406;75.897;25.111;26.161
23472;65.78;87.93;6.144;67.877;5.116;49.479;5.731;59.053;24.544;25.589
24125;68.50;112.43;11.344;87.238;10.237;72.423;10.784;79.058;26.189;23.717
24959;62.01;129.71;8.722;87.412;7.420;84.223;8.050;85.738;27.889;26.567
25913;59.55;150.78;2.091;30.362;1.873;29.897;1.979;30.121;28.133;27.094
26063;59.95;30.70;3.099;32.253;2.844;17.699;3.012;25.209;26.367;27.239
27612;55.75;37.95;3.836;34.260;2.652;12.141;3.577;24.497;22.422;25.400
28698;54.93;73.40;6.029;74.759;4.145;51.215;5.298;63.449;25.600;26.644
29634;54.96;82.95;5.175;61.122;3.726;31.473;4.782;48.669;20.511;24.417
31004;58.61;125.36;13.186;59.660;13.203;62.402;13.195;61.130;22.667;21.139
32061;50.90;142.16;2.147;24.085;1.971;33.228;2.030;29.490;28.089;23.756
