Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.328;28.091;2.047;21.565;2.206;24.832;29.033;29.065
01028;74.51;19.01;2.700;30.371;2.501;23.854;2.612;27.116;28.935;28.962
01241;63.70;9.60;2.102;21.953;1.644;1.916;2.065;11.941;27.793;27.810
01415;58.86;5.65;1.656;14.175;1.368;0.658;1.643;7.406;28.076;28.033
03005;60.13;-1.17;1.964;13.259;1.631;6.478;1.855;9.888;28.859;29.022
04018;63.95;-22.60;1.414;6.069;1.032;1.410;1.342;3.737;28.533;28.505
04270;61.15;-45.43;1.250;4.789;1.367;13.609;1.337;9.205;28.674;28.636
04320;76.76;-18.65;2.900;42.192;2.401;30.019;2.693;36.110;28.424;28.446
70133;66.86;-162.63;3.291;16.388;3.191;24.943;3.230;20.698;28.413;28.201
70200;64.50;-165.43;1.512;8.267;2.176;33.750;2.045;21.009;28.663;28.663
70219;60.78;-161.84;1.084;0.377;1.526;18.667;1.517;9.501;28.707;28.772
70261;64.81;-147.88;nan;0.000;3.022;51.350;3.022;25.646;28.978;29.011
70273;61.16;-150.01;0.968;0.260;1.440;14.067;1.432;7.148;29.130;29.196
70308;57.15;-170.21;1.761;15.146;2.203;30.483;2.050;22.596;27.457;28.261
70316;55.20;-162.71;1.681;6.497;2.181;17.178;2.043;11.832;29.043;29.076
70326;58.68;-156.67;0.971;0.415;2.084;26.702;2.067;13.576;28.902;28.864
70350;57.75;-152.50;1.188;1.384;1.675;18.271;1.641;9.807;28.913;28.984
70361;59.51;-139.67;1.312;1.832;3.459;24.549;3.309;13.161;28.913;28.989
70398;55.05;-131.59;1.539;0.966;2.212;14.968;2.171;7.952;29.120;29.185
71043;65.28;-126.75;5.363;0.151;3.853;52.558;3.857;25.979;28.043;28.451
71081;68.76;-81.21;2.793;28.916;2.648;38.695;2.710;33.787;28.652;28.761
71082;82.50;-62.35;2.626;37.563;2.495;34.237;2.564;35.903;28.065;28.125
71109;50.68;-127.36;2.061;7.470;3.327;26.404;3.045;16.887;28.652;28.804
71811;50.21;-66.24;1.958;31.127;2.023;28.881;1.989;30.007;29.054;29.141
71816;53.30;-60.36;2.511;4.082;1.335;9.323;1.691;6.709;28.913;28.837
71867;53.97;-101.09;2.239;0.901;4.678;60.150;4.642;30.509;28.913;28.929
71906;58.11;-68.41;2.251;7.654;2.252;22.946;2.252;15.214;28.043;28.364
71907;58.45;-78.11;3.115;18.600;2.740;34.515;2.872;26.526;28.815;28.929
71913;58.73;-94.08;3.330;17.169;3.386;57.105;3.373;37.099;28.761;28.815
71917;79.98;-85.93;1.604;16.742;1.461;22.038;1.522;19.395;28.804;28.750
71925;69.13;-105.06;2.068;8.939;2.902;39.028;2.746;23.955;29.076;29.130
71926;64.31;-96.00;2.598;4.298;2.687;36.264;2.677;20.136;27.815;28.071
71934;60.03;-111.93;2.170;1.272;4.759;67.122;4.710;33.967;28.663;28.864
71945;58.83;-122.60;2.906;0.894;7.823;72.453;7.765;37.201;28.804;28.386
71957;68.31;-133.53;6.273;0.941;2.314;44.642;2.397;22.726;28.707;28.793
72797;47.95;-124.55;2.066;6.999;4.710;39.804;4.317;23.460;28.783;28.679
04360;65.59;-37.63;2.411;36.349;2.286;22.462;2.363;29.415;27.196;27.234
10035;54.53;9.55;1.340;17.304;1.422;0.186;1.341;8.763;29.152;29.212
10238;52.81;9.93;1.636;34.891;9.015;0.176;1.686;14.970;24.750;21.565
12120;54.75;17.53;1.690;36.857;1.691;1.056;1.690;19.900;24.707;26.082
12374;52.40;20.96;1.647;40.334;2.238;0.076;1.649;20.244;28.511;28.565
21824;71.58;128.91;4.030;25.277;3.533;27.724;3.748;26.607;24.543;22.571
22113;68.98;33.11;1.947;24.395;2.847;1.443;1.995;13.213;25.609;26.283
22217;67.15;32.35;2.172;31.011;7.179;1.127;2.373;15.051;27.000;25.277
22271;67.88;44.13;2.668;42.249;2.283;10.287;2.582;24.960;21.978;20.315
23205;67.63;53.03;1.993;32.160;1.702;0.912;1.986;18.040;22.652;25.065
23330;66.53;66.66;1.998;29.029;4.824;0.929;2.085;15.032;24.565;24.658
23472;65.78;87.93;1.898;23.881;3.194;0.693;1.932;12.695;23.543;24.402
24125;68.50;112.43;3.953;14.293;8.270;2.356;4.623;8.001;23.989;22.755
24959;62.01;129.71;2.471;8.819;1.816;6.408;2.184;7.572;27.989;27.060
25913;59.55;150.78;2.921;25.373;3.388;47.449;3.223;36.263;25.565;25.913
26063;59.95;30.70;1.400;30.721;7.919;0.278;1.458;15.569;27.348;27.473
27612;55.75;37.95;2.934;53.930;8.863;0.182;2.951;28.706;23.848;25.408
28698;54.93;73.40;2.448;56.586;1.097;0.499;2.436;27.915;28.304;27.685
29634;54.96;82.95;2.420;48.887;2.227;0.745;2.417;28.724;20.413;24.370
32061;50.90;142.16;1.914;11.834;2.339;37.400;2.258;26.440;27.174;23.783
32150;46.95;142.71;1.644;9.031;1.821;31.730;1.783;20.702;28.022;27.250
32540;53.08;158.58;1.929;7.094;2.449;34.077;2.364;21.056;27.272;26.353
33345;50.40;30.56;1.337;20.551;17.600;0.314;1.559;10.926;20.772;21.837
34731;47.25;39.81;1.843;51.748;21.112;0.298;1.944;27.169;21.902;22.924
47401;45.41;141.68;1.553;14.259;2.017;30.646;1.870;22.451;29.261;29.266
