Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.181;12.676;2.143;10.267;2.164;11.474;28.953;29.012
01028;74.51;19.01;2.402;14.022;2.130;11.596;2.279;12.811;28.871;28.914
01241;63.70;9.60;1.852;17.935;1.881;7.570;1.861;12.755;28.014;28.030
01415;58.86;5.65;1.786;11.648;1.938;1.935;1.808;6.783;28.321;28.273
03005;60.13;-1.17;1.846;6.938;1.495;3.372;1.732;5.163;29.003;29.132
04018;63.95;-22.60;1.456;6.994;1.784;3.832;1.572;5.419;28.238;28.340
04270;61.15;-45.43;3.772;22.989;3.717;27.993;3.742;25.488;28.677;28.711
04320;76.76;-18.65;4.057;53.383;3.978;46.651;4.020;50.019;28.425;28.447
70133;66.86;-162.63;4.173;41.241;4.573;52.428;4.397;46.833;28.605;28.612
70200;64.50;-165.43;3.000;20.209;3.321;39.759;3.212;29.960;28.666;28.737
70219;60.78;-161.84;6.091;24.951;5.218;44.080;5.534;34.495;28.945;29.005
70261;64.81;-147.88;8.006;27.641;6.922;66.256;7.242;46.898;29.156;29.233
70273;61.16;-150.01;3.431;20.788;3.374;39.386;3.393;30.062;29.258;29.337
70308;57.15;-170.21;1.699;7.326;2.129;14.790;1.983;10.983;27.879;28.451
70316;55.20;-162.71;1.814;4.382;2.374;11.696;2.221;8.031;28.811;28.878
70326;58.68;-156.67;4.243;12.910;4.033;37.793;4.086;25.326;28.975;29.036
70350;57.75;-152.50;1.506;1.362;1.906;13.782;1.870;7.555;29.003;29.084
70361;59.51;-139.67;2.670;5.712;4.064;31.460;3.849;18.542;28.912;29.012
70398;55.05;-131.59;1.536;0.993;2.323;11.894;2.262;6.423;29.025;29.134
71043;65.28;-126.75;7.117;25.811;6.625;62.257;6.771;43.869;28.353;28.612
71081;68.76;-81.21;4.978;48.828;5.360;56.610;5.183;52.709;28.496;28.570
71082;82.50;-62.35;4.798;63.860;4.835;62.595;4.816;63.229;28.573;28.667
71109;50.68;-127.36;2.139;6.793;3.327;22.897;3.053;14.806;28.921;29.060
71811;50.21;-66.24;2.297;27.991;2.867;36.206;2.617;32.087;29.156;29.236
71816;53.30;-60.36;2.850;13.214;3.297;22.960;3.134;18.079;28.937;28.982
71867;53.97;-101.09;4.614;14.687;6.192;60.944;5.885;37.789;29.090;29.123
71906;58.11;-68.41;2.926;21.564;3.881;37.383;3.528;29.399;28.033;28.297
71907;58.45;-78.11;3.661;32.084;4.150;43.214;3.940;37.614;28.663;28.844
71913;58.73;-94.08;3.717;36.448;4.503;59.758;4.202;47.995;28.260;28.525
71917;79.98;-85.93;7.626;60.778;7.663;65.278;7.645;63.021;28.997;29.084
71925;69.13;-105.06;5.557;53.448;6.059;67.294;5.836;60.354;29.093;29.166
71926;64.31;-96.00;5.212;47.005;5.545;62.276;5.400;54.558;27.663;27.966
71934;60.03;-111.93;6.180;18.235;6.204;65.472;6.199;41.683;28.732;28.940
71945;58.83;-122.60;13.989;20.274;12.317;69.386;12.689;45.109;28.852;28.527
71957;68.31;-133.53;5.478;35.925;4.987;63.340;5.166;49.569;28.773;28.907
72797;47.95;-124.55;1.986;4.413;4.286;33.970;4.022;19.192;28.679;28.679
04360;65.59;-37.63;2.374;27.617;2.353;21.033;2.365;24.325;26.729;26.727
10035;54.53;9.55;1.991;19.920;2.352;7.221;2.086;13.588;29.216;29.297
10238;52.81;9.93;2.271;32.490;2.766;5.865;2.366;17.341;23.589;20.729
12120;54.75;17.53;2.080;31.360;2.072;6.931;2.079;19.844;25.219;26.749
12374;52.40;20.96;2.401;37.518;2.504;6.302;2.416;21.936;28.866;28.914
21824;71.58;128.91;5.159;49.236;5.066;48.975;5.108;49.092;25.123;22.697
22113;68.98;33.11;3.553;29.258;4.291;16.262;3.804;23.002;26.501;27.526
22217;67.15;32.35;4.005;36.581;4.649;15.124;4.210;25.204;27.227;25.675
22271;67.88;44.13;3.698;37.809;3.484;23.570;3.606;29.994;23.189;21.123
23205;67.63;53.03;4.695;43.876;4.980;23.683;4.782;34.856;21.888;24.500
23330;66.53;66.66;5.249;53.321;5.603;32.998;5.380;43.423;24.792;25.452
23472;65.78;87.93;4.868;43.729;5.404;23.918;5.048;34.206;24.444;25.426
24125;68.50;112.43;9.191;51.904;10.055;37.695;9.586;44.276;24.937;23.226
24959;62.01;129.71;7.243;46.039;6.772;44.340;7.003;45.159;27.879;26.925
25913;59.55;150.78;2.366;22.672;2.581;30.949;2.491;26.856;27.123;26.830
26063;59.95;30.70;2.204;28.641;2.913;8.180;2.358;18.571;27.329;27.764
27612;55.75;37.95;3.206;40.089;2.716;6.256;3.150;24.663;23.167;25.405
28698;54.93;73.40;4.346;59.682;4.281;21.664;4.329;40.862;26.381;26.645
29634;54.96;82.95;3.896;48.364;3.651;14.700;3.852;34.182;20.668;24.530
31004;58.61;125.36;11.443;34.788;11.955;42.824;11.734;38.929;21.093;20.466
32061;50.90;142.16;2.056;11.946;2.064;27.647;2.062;20.955;27.449;23.919
32150;46.95;142.71;2.394;19.174;2.023;29.144;2.162;24.382;28.014;26.816
32540;53.08;158.58;2.084;11.151;2.014;23.228;2.036;17.403;27.978;27.023
33345;50.40;30.56;2.256;24.812;2.569;6.256;2.315;15.937;21.370;22.340
34731;47.25;39.81;2.319;41.924;2.985;7.499;2.407;26.169;20.570;22.473
47401;45.41;141.68;1.805;5.892;2.025;12.727;1.955;9.312;29.255;29.229
50953;45.75;126.76;3.531;37.257;2.130;15.719;3.118;26.535;23.285;23.386
